,id,latitude,longtitude,engine_speed,operate_mode
60,60,39.53252865,116.2908262,1000,1
61,61,39.53100367,116.2908498,1500,0
62,62,39.53096902,116.2908412,1500,0
63,63,39.53093961,116.290816,1500,0
64,64,39.53091995,116.2907781,1500,0
65,65,39.53091306,116.2907349,1000,0
66,66,39.53091288,116.2906953,1500,0
67,67,39.53091938,116.2906505,1500,0
68,68,39.5309387,116.2906124,1500,0
69,69,39.53096789,116.2905867,1500,0
70,70,39.53100246,116.2905776,1000,1
71,71,39.53253988,116.2905537,1500,0
72,72,39.53257526,116.2905658,1500,0
73,73,39.53260402,116.290595,1500,0
74,74,39.53262141,116.2906366,1500,0
75,75,39.53262518,116.2906685,1000,0
76,76,39.53262478,116.2906783,1500,0
77,77,39.53261778,116.2907247,1500,0
78,78,39.53259707,116.2907637,1500,0
79,79,39.53256607,116.2907888,1500,0
80,80,39.53252989,116.2907959,1000,1
81,81,39.53100354,116.2908196,1500,0
82,82,39.53096889,116.2908109,1500,0
83,83,39.53093948,116.2907857,1500,0
84,84,39.53091981,116.2907479,1500,0
85,85,39.53091292,116.2907046,1000,0
86,86,39.53091275,116.290665,1500,0
87,87,39.53091924,116.2906202,1500,0
88,88,39.53093857,116.2905821,1500,0
89,89,39.53096775,116.2905565,1500,0
90,90,39.53100232,116.2905473,1000,1
91,91,39.53254113,116.2905235,1500,0
92,92,39.53257651,116.2905355,1500,0
93,93,39.53260527,116.2905647,1500,0
94,94,39.53262266,116.2906063,1500,0
95,95,39.53262643,116.2906382,1000,0
96,96,39.53262603,116.2906481,1500,0
97,97,39.53261903,116.2906944,1500,0
98,98,39.53259832,116.2907334,1500,0
99,99,39.53256732,116.2907585,1500,0
100,100,39.53253114,116.2907656,1000,1
101,101,39.5310034,116.2907893,1500,0
102,102,39.53096875,116.2907806,1500,0
103,103,39.53093934,116.2907555,1500,0
104,104,39.53091968,116.2907176,1500,0
105,105,39.53091279,116.2906744,1000,0
106,106,39.53091261,116.2906348,1500,0
107,107,39.53091911,116.29059,1500,0
108,108,39.53093843,116.2905519,1500,0
109,109,39.53096762,116.2905262,1500,0
110,110,39.53100218,116.290517,1000,1
111,111,39.53254237,116.2904932,1500,0
112,112,39.53257776,116.2905052,1500,0
113,113,39.53260652,116.2905344,1500,0
114,114,39.53262391,116.290576,1500,0
115,115,39.53262768,116.290608,1000,0
116,116,39.53262727,116.2906178,1500,0
117,117,39.53262027,116.2906642,1500,0
118,118,39.53259957,116.2907031,1500,0
119,119,39.53256857,116.2907282,1500,0
120,120,39.53253239,116.2907354,1000,1
121,121,39.53100327,116.2907591,1500,0
122,122,39.53096862,116.2907504,1500,0
123,123,39.53093921,116.2907252,1500,0
124,124,39.53091954,116.2906874,1500,0
125,125,39.53091265,116.2906441,1000,0
126,126,39.53091248,116.2906045,1500,0
127,127,39.53091897,116.2905597,1500,0
128,128,39.5309383,116.2905216,1500,0
129,129,39.53096748,116.290496,1500,0
130,130,39.53100205,116.2904868,1000,1
131,131,39.53254362,116.2904629,1500,0
132,132,39.53257901,116.2904749,1500,0
133,133,39.53260777,116.2905042,1500,0
134,134,39.53262515,116.2905458,1500,0
135,135,39.53262893,116.2905777,1000,0
136,136,39.53262852,116.2905875,1500,0
