342,39.53100465N,116.29230032E,17.9771
343,39.53099642N,116.29230144E,17.9939
344,39.53098536N,116.29230032E,18.0106
345,39.53097388N,116.29229966E,17.9930
346,39.53096355N,116.29229964E,18.0107
347,39.53095319N,116.29229940E,18.0079
348,39.53094318N,116.29229998E,17.9896
349,39.53093181N,116.29229992E,17.9810
350,39.53092055N,116.29230057E,17.9970
351,39.53090935N,116.29229980E,18.0071
352,39.53089824N,116.29230039E,17.9539
353,39.53088762N,116.29229968E,18.0091
354,39.53087737N,116.29229850E,17.9968
355,39.53086574N,116.29229900E,18.1183
356,39.53085511N,116.29229817E,18.0866
357,39.53084349N,116.29229757E,18.0269
358,39.53083294N,116.29229836E,18.0670
359,39.53082111N,116.29229886E,18.0975
360,39.53080965N,116.29229873E,18.0090
361,39.53079837N,116.29229836E,18.0270
362,39.53078696N,116.29229685E,17.9164
363,39.53076287N,116.29229511E,17.8267
364,39.53075185N,116.29229423E,17.8330
365,39.53074010N,116.29229154E,17.8560
366,39.53072920N,116.29229095E,17.8085
367,39.53071901N,116.29228845E,17.9914
368,39.53070847N,116.29228287E,17.8737
369,39.53070007N,116.29227563E,17.8541
370,39.53069090N,116.29226860E,17.8177
371,39.53068198N,116.29226375E,17.7614
372,39.53067361N,116.29225590E,17.8079
373,39.53066692N,116.29224517E,17.8805
374,39.53066290N,116.29223116E,17.8295
375,39.53065953N,116.29221729E,17.7891
376,39.53065740N,116.29220415E,17.7899
377,39.53065818N,116.29218888E,17.8258
378,39.53065846N,116.29217310E,17.8446
379,39.53065821N,116.29215889E,17.8335
380,39.53065760N,116.29214409E,17.9500
381,39.53065721N,116.29212916E,17.8833
382,39.53065723N,116.29211398E,17.8045
383,39.53065635N,116.29209950E,17.8840
384,39.53065499N,116.29208564E,17.8421
385,39.53065502N,116.29207131E,17.8406
386,39.53065438N,116.29205638E,17.8120
387,39.53065399N,116.29202544E,17.8207
388,39.53065349N,116.29200953E,17.8082
389,39.53065294N,116.29199463E,17.7489
390,39.53065234N,116.29198048E,17.7981
391,39.53065171N,116.29196541E,17.7908
392,39.53065185N,116.29195031E,17.7931
393,39.53065175N,116.29193590E,17.7281
394,39.53065106N,116.29192086E,17.7706
395,39.53065073N,116.29190526E,17.7637
396,39.53065031N,116.29189049E,17.8228
397,39.53064832N,116.29187626E,17.7946
398,39.53064703N,116.29186241E,17.8380
399,39.53064745N,116.29184940E,17.7274
400,39.53064773N,116.29183508E,17.7133
401,39.53064700N,116.29182024E,17.7226
402,39.53064686N,116.29180569E,17.6956
403,39.53064623N,116.29179096E,17.7508
404,39.53064308N,116.29177743E,17.7399
405,39.53063956N,116.29176617E,17.7319
406,39.53063528N,116.29175512E,17.6687
407,39.53063169N,116.29174242E,17.7449
408,39.53063056N,116.29172738E,17.7546
409,39.53063147N,116.29171453E,17.7143
410,39.53063469N,116.29170072E,17.6528
411,39.53063938N,116.29168752E,17.6543
412,39.53064254N,116.29167435E,17.6827
413,39.53064238N,116.29164937E,17.7112
414,39.53064155N,116.29163553E,17.6632
415,39.53064244N,116.29162128E,17.6829
416,39.53064686N,116.29160887E,17.6885
417,39.53065058N,116.29159759E,17.6949
418,39.53065243N,116.29158450E,17.7047
419,39.53065337N,116.29157065E,17.6602
420,39.53065489N,116.29155685E,17.6387
421,39.53065535N,116.29154576E,17.8142
422,39.53065592N,116.29153294E,17.7270
423,39.53065450N,116.29151842E,17.6401
424,39.53065458N,116.29150245E,17.6399
425,39.53065746N,116.29149014E,17.6914
426,39.53066062N,116.29147584E,17.6334
427,39.53066476N,116.29146380E,17.6271
428,39.53066892N,116.29145035E,17.6710
429,39.53066736N,116.29143835E,17.6462
430,39.53066361N,116.29142618E,17.6048
431,39.53066170N,116.29140907E,17.5915
432,39.53066192N,116.29139359E,17.5790
433,39.53066482N,116.29137941E,17.6341
434,39.53067174N,116.29136671E,17.6178
435,39.53068046N,116.29135533E,17.5933
436,39.53068468N,116.29134806E,17.6199
437,39.53068313N,116.29133681E,17.5828
438,39.53067589N,116.29130874E,17.5946
439,39.53067291N,116.29129507E,17.5930
